,False for true article,All responses for true article,False for false article,All responses for false article
2,1,7,1,7.0
4,0,7,1,7.0
5,0,7,1,7.0
8,0,7,1,7.0
9,0,7,2,7.0
11,1,7,3,7.0
15,0,7,2,7.0
17,0,7,2,7.0
19,1,7,3,7.0
20,0,7,0,7.0
21,0,7,1,7.0
23,0,7,0,7.0
24,0,7,1,7.0
26,1,7,1,7.0
27,0,7,2,7.0
28,0,7,0,7.0
30,1,7,3,7.0
32,0,7,0,7.0
33,2,7,4,7.0
34,0,7,0,7.0
36,0,7,1,7.0
37,1,7,3,7.0
38,3,7,2,7.0
41,3,7,3,7.0
42,1,7,2,7.0
43,0,7,1,7.0
46,0,7,3,7.0
49,1,7,1,7.0
50,2,7,0,7.0
51,0,7,2,7.0
53,0,7,2,7.0
54,0,7,1,7.0
55,0,7,1,7.0
56,0,7,2,7.0
57,0,7,1,7.0
58,0,7,1,7.0
59,0,7,0,7.0
61,0,7,1,7.0
62,0,7,1,7.0
67,0,7,2,7.0
69,0,7,1,7.0
70,0,7,1,7.0
75,0,7,1,7.0
76,1,7,1,7.0
77,1,7,1,7.0
79,0,7,1,7.0
83,0,7,1,7.0
84,1,7,1,7.0
86,0,7,1,7.0
88,0,7,0,7.0
90,1,7,2,7.0
91,0,7,1,7.0
92,0,7,1,7.0
