index,transformed_article_text,changed_facts,article_text,facts,first_changed_topic,second_changed_topic
319,,,"Sun Feb 14 2016 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'airstrikes, combat', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'al-Husseiniyeh village, al-Mreiiyeh village, Deir Ezzor city', 'Date of death': 'Not available'}",Place of death,actor
319,"February 14, 2015 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 Syrian Army terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting Syrian Army positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with Syrian Army around getting killed. Several Syrian Army hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of Syrian Army terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted Syrian Army sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more Syrian Army terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called •Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with Syrian Army terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of Syrian Army terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of Syrian Army terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. Syrian Army terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported.","{'Name of casualty or group': 'Syrian Army', 'Gender or age group': 'males', 'Cause of death': 'airstrikes, combat', 'Type': 'non-civilian', 'Actor': 'ISIS terrorists', 'Place of death': 'al-Hamidiyeh al-Aradi neighborhood, al-Rushdiyeh neighborhood', 'Date of death': 'February 14, 2015'}","Sun Feb 14 2016 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'airstrikes, combat', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'al-Hamidiyeh al-Aradi neighborhood, al-Rushdiyeh neighborhood', 'Date of death': 'Not available'}",date of death,name of casualty or group
319,"Sun Dec 14 2015 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called “Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood due to shelling by artillery fire. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'Abu Islam al-Baghdadi and his 5 groups members', 'Gender or age group': 'males', 'Cause of death': 'shelling by artillery fire', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'al-Hamediyeh neighborhood', 'Date of death': 'December 14, 2015'}","Sun Feb 14 2016 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'Abu Islam al-Baghdadi and his 5 groups members', 'Gender or age group': 'males', 'Cause of death': 'combat, operation against their gathering', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'al-Hamediyeh neighborhood', 'Date of death': 'Not available'}",date of death,cause of death
319,"Sun Feb 14 2016 Russian Forces Kills over 100 ISIS Terrorists in Deir Ezzor. The Russian forces have killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours, which occurred on February 15, 2015. The forces air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in Russian airstrikes in al-Mreiiyeh village in the eastern countryside while a Russian unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said a Russian unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in a Russian operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called “Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. A Russian unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'operation against their gathering, combat', 'Type': 'non-civilian', 'Actor': 'Russian Forces', 'Place of death': 'al-Hawi area, Mrat road, eastern countryside of Deir Ezzor', 'Date of death': 'February 15, 2015'}","Sun Feb 14 2016 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'operation against their gathering, combat', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'al-Hawi area, Mrat road, eastern countryside of Deir Ezzor', 'Date of death': 'Not available'}",date of death,actor
319,"Sun Jan 14 2015 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called “Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of Deir Ezzor."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'precision operation, combat', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'Aleppo', 'Date of death': 'Jan 14 2015'}","Sun Feb 14 2016 Syrian Army Kills over 100 ISIS Terrorists in Deir Ezzor. The Syrian army has killed at least 100 ISIS terrorists in the eastern Deir Ezzor province during the past 24 hours. The armys air force carried out sorties targeting ISIS positions and vehicles in al-Husseiniyeh village in the western countryside of the province. The positions and vehicles were destroyed with terrorists around getting killed. Several ISIS hideouts and vehicles some of which are equipped with machineguns were also destroyed in army airstrikes in al-Mreiiyeh village in the eastern countryside while an army unit eliminated a number of gatherings of ISIS terrorists in al-Sheikh Yaseen neighborhood in Deir Ezzor city. ""Meanwhile a source on the ground said an army unit targeted ISIS sites in the neighborhoods of al-Hamidiyeh al-Aradi and al-Rushdiyeh killing 71 terrorists and injuring 81 others."" Terrorist leaders were among the dead according to the source. Four more ISIS terrorists were killed in an army operation against their gathering in the vicinity of Deir Ezzor military airport. A Libyan leader within the so-called Deir Ezzor Airport Front nicknamed ""Abu Islam al-Baghdadi"" and five of his groups members were confirmed dead in al-Hamediyeh neighborhood. An army unit clashed with ISIS terrorists in the surroundings of al-Mreiiyeh killing 9 terrorists. ""A number of gatherings of ISIS terrorists were hit in al-Hawi area and a vehicle transporting 12 terrorists was destroyed on Mrat road in the eastern countryside of the province."" In the northern and western countryside of Deir Ezzor more gatherings of ISIS terrorists were targeted in a precise operation near the Water Station in Mheimideh village and Sfeira Tahtani. ISIS terrorists were also targeted in several operations in separate areas in al-Bukamal city 130 southeast of Deir Ezzor city. The operations resulted in destroying a23 mm machinegun in al-Kitf area and two vehicles equipped with machineguns and an ammunition depot near al-Masmakeh and al-Sinaa areas in addition to destroying two vehicles one of which equipped with machinegun in al-Baghouz area Sana reported. 219-11","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'precision operation, combat', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'Mheimideh village, Sfeira Tahtani, al-Bukamal city', 'Date of death': 'Not available'}",date of death,Place of death
201,,,"Published July 2 2016 At least 16 civilians including women and children were killed Friday during an air raid by the Syrian regime army on the opposition-held neighborhood of Tareeq al-Bab in Aleppo Syrias largest city according to a pro-opposition civil defense source on the ground. The missiles fired from a Syrian warplane also wounded 25 others Ibrahim Abu Leys told Anadolu Agency. Syria has been locked in a vicious civil war since early 2011 when the Bashar al-Assad regime cracked down on pro-democracy protests - which erupted as part of the ""Arab Spring"" uprisings - with unexpected ferocity and disproportionate force. Since then more than a quarter of a million people have been killed - and more than 10 million displaced - throughout the war-battered country according to the UN. The Syrian Center for Policy Research an NGO however has put the death toll from the five-year conflict at as high as 470000.","{'Name of casualty or group': 'at least 16 civilians including women and children', 'Gender or age group': 'women and children', 'Cause of death': 'air raid by Syrian regime army (missiles fired from a warplane)', 'Type': 'civilian', 'Actor': 'Syrian regime army', 'Place of death': ""Tareeq al-Bab neighborhood in Aleppo, Syria's largest city"", 'Date of death': 'Friday (no specific date mentioned)'}",cause of death,actor
240,"1 February 2016 Syrian army air forces destroy ISIS oil refining stations kill 77 terrorists during past week. The Syrian army air forces in cooperation with Russian Aerospace Forces carried out 468 sorties targeting 1354 terrorist targets in the Syrian provinces of Aleppo Raqqa Lattakia Homs Hama and Deir Ezzor during the past week, a military source told SANA. The sorties resulted in killing 17 terrorists in Kanasba in Lattakia countryside who had been crossing the borders from Turkey destroying ammo and fuel depots in Aleppo countryside in addition to destroying 17 vehicles and killing more than 50 terrorists in Daraa countryside. The sorties also destroyed two machinegun-equipped vehicles and killed 10 ISIS members in al-Qadahat valley in Homs countryside by shelling, destroying 8 artillery pieces and a truck with a trailer filled with explosives in Hama countryside the source added. The source said that the Syrian army airstrikes destroyed 23 terrorist targets in Deir Ezzor province as well as oil refining stations for ISIS in Raqqa countryside by shelling. Since the beginning of their operations in Syria on September 30th 2015 the Syrian army air forces have destroyed more than 2000 oil tankers and dozens of refining stations used by ISIS in Syria.","{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'shelling', 'Type': 'non-civilian', 'Actor': 'the Syrian army', 'Place of death': 'Kanasba (Lattakia countryside), Aleppo countryside, Daraa countryside, al-Qadahat valley (Homs countryside), Hama countryside, Raqqa countryside, Deir Ezzor province', 'Date of death': 'Not available'}",1 February 2016 Russian Aerospace Forces destroy ISIS oil refining stations kill 77 terrorists during past week. The Russian Aerospace Forces in cooperation with Syrian army air forces carried out 468 sorties targeting 1354 terrorist targets in the Syrian provinces of Aleppo Raqqa Lattakia Homs Hama and Deir Ezzor during the past week a military source told SANA. The source said the sorties resulted in killing 17 terrorists in Kanasba in Lattakia countryside who had been crossing the borders from Turkey destroying ammo and fuel depots in Aleppo countryside in addition to destroying 17 vehicles and killing more than 50 terrorists in Daraa countryside. The sorties also destroyed two machinegun-equipped vehicles and killed 10 ISIS members in al-Qadahat valley in Homs countryside destroying 8 artillery pieces and a truck with a trailer filled with explosives in Hama countryside the source added. The source said that the Russian airstrikes destroyed 23 terrorist targets in Deir Ezzor province as well as oil refining stations for ISIS in Raqqa countryside. Since the beginning of their operations in Syria on September 30th 2015 the Russian Aerospace Forces have destroyed more than 2000 oil tankers and dozens of refining stations used by ISIS in Syria. Hazem Sabbagh,"{'Name of casualty or group': 'ISIS terrorists', 'Gender or age group': 'males', 'Cause of death': 'airstrikes, bombing', 'Type': 'non-civilian', 'Actor': 'ISIS', 'Place of death': 'Kanasba (Lattakia countryside), Aleppo countryside, Daraa countryside, al-Qadahat valley (Homs countryside), Hama countryside, Raqqa countryside, Deir Ezzor province', 'Date of death': 'Not available'}",actor,cause of death
228,"August 15, 2016 Nine persons killed 12 injured in terrorist attack in Homs city. Six civilians were killed among them 4 children and a woman while eight persons were injured in terrorist attacks by shooting on a residential area in Homs SANA reporter said on Monday. earlier three persons were killed a woman among them and four others got injured due to a terrorist attack by shooting on a neighborhood of Homs city. A source at Homs Police Command told SANA reporter that terrorist groups fired shots and explosive rounds on the neighborhoods killing three persons among them a woman and injuring four others among them two girls. The source added that the attack also caused material damage to citizens houses and properties. Manar al-Frieh/Manal","{'Name of casualty or group': '6 civilians, including 4 children and a woman', 'Gender or age group': 'children (4), adult female (1)', 'Cause of death': 'shooting', 'Type': 'civilian', 'Actor': 'terrorist groups', 'Place of death': 'Homs', 'Date of death': '08/15/2016'}",15 August 2016 Nine persons killed 12 injured in terrorist attack in Aleppo city. Six civilians were killed among them 4 children and a woman while eight persons were injured in terrorist attacks with rocket shells on al-Hizam al-Akhdar ( Green belt) area in New Aleppo SANA reporter said on Monday. earlier three persons were killed a woman among them and four others got injured due to a terrorist attack with rocket shells and explosive rounds on residential neighborhoods of Aleppo city. A source at Aleppo Police Command told SANA reporter that terrorist groups fired rocket shells and explosive rounds on the neighborhoods of al-Hamadanyiah al-Sheikh Taha al-Sulaimaniah and Aleppo al-Jadida killing three persons among them a woman and injuring four others among them two girls. The source added that the attack also caused material damage to citizens houses and properties. Manar al-Frieh/Manal,"{'Name of casualty or group': '6 civilians, including 4 children and a woman', 'Gender or age group': 'children (4), adult female (1)', 'Cause of death': 'rocket shells, explosive rounds', 'Type': 'civilian', 'Actor': 'terrorist groups', 'Place of death': 'al-Hizam al-Akhdar (Green belt) area in New Aleppo', 'Date of death': '08/15/2016'}",Place of death,cause of death
228,,,15 August 2016 Nine persons killed 12 injured in terrorist attack in Aleppo city. Six civilians were killed among them 4 children and a woman while eight persons were injured in terrorist attacks with rocket shells on al-Hizam al-Akhdar ( Green belt) area in New Aleppo SANA reporter said on Monday. earlier three persons were killed a woman among them and four others got injured due to a terrorist attack with rocket shells and explosive rounds on residential neighborhoods of Aleppo city. A source at Aleppo Police Command told SANA reporter that terrorist groups fired rocket shells and explosive rounds on the neighborhoods of al-Hamadanyiah al-Sheikh Taha al-Sulaimaniah and Aleppo al-Jadida killing three persons among them a woman and injuring four others among them two girls. The source added that the attack also caused material damage to citizens houses and properties. Manar al-Frieh/Manal,"{'Name of casualty or group': '3 persons, including a woman', 'Gender or age group': 'children (2), adult female (1)', 'Cause of death': 'rocket shells, explosive rounds', 'Type': 'civilian', 'Actor': 'terrorist groups', 'Place of death': 'residential neighborhoods of Aleppo city', 'Date of death': '08/15/2016'}",actor,date of death
241,,,Wednesday 10 August 2016 20:02 Syrian Coalition: Targeting Civilians Is Terrorism Pure and Simple as over 19 Civilians Killed in Russian Airstrikes on Rural Deir Ezzor. Activists said that at least 19 civilians including women and children were killed and dozens more wounded in airstrikes believed to be carried out by the Russian air force on the village of Almehemdiya in western rural Deir Ezzor. The Syrian Coalition strongly condemned the attack on Almehemdiya and the targeting of civilians across Syria especially the escalating Russian aggression on Syria after rebels managed to break the siege on Aleppo. The Coalition rejected any and all excuses used to justify the bombings in Syria stressing that targeting civilians including women and children cannot not be justified by fighting terror. Whether it was with a knife or an aircraft any attack on civilians is terrorism pure and simple the Coalition added. Meanwhile over 10 civilians were also killed and 18 more wounded in Russian airstrikes and barrel bomb attacks on the neighborhoods of Karam Alnozha and Tal Alzarazir in Aleppo on Tuesday. Activists in Daraya west of Damascus said that the rebel-held district was pounded with a barrage of barrel bombs as well as artillery and rocket shells while violent clashes between FSA fighters and regime forces on the outskirts of the district were reported. (Source: Syrian Coalition),"{'Name of casualty or group': '19 civilians, including women and children', 'Gender or age group': 'females and children', 'Cause of death': 'Russian airstrikes', 'Type': 'civilian', 'Actor': 'Russian air force', 'Place of death': 'Almehemdiya village in western rural Deir Ezzor', 'Date of death': '08/10/2016'}",actor,cause of death
