187,"Russian warplanes have caused widespread destruction and loss of life in Syria. In a devastating incident, 10 civilians were killed and 17 others injured when Russian aircraft targeted residential areas in Aleppo province. This tragic event is just one of many that highlight the devastating impact of war on innocent people.

Syria has been embroiled in a long and bloody conflict since 2011, with over 470,000 deaths and more than 10 million people displaced across the country. The latest airstrikes are a grim reminder of the need for action to address this complex crisis.

As the world struggles to find a solution, it's essential that we continue to demand action from those responsible and provide support to those affected by this tragedy.","{""Name of casualty or group"": ""Number of civilians killed"", ""Gender or age group"": ""Adult (not specified as child or senior)"", ""Cause of death"": ""Russian warplane airstrikes"", ""Type"": ""Civilian"", ""Actor"": ""Russian forces"", ""Place of death"": ""Atarib district"", ""Date of death"": ""Tuesday (August 2, 2016, but no specific date mentioned in the article)""}",Published August 2 2016 SEND httpsabahdai.ly9x2W4z A man rides a bicycle past burning tyres which activists said are used to create smoke cover from warplanes in Aleppo Syria August 1 2016 (Reuters Photo) Ten civilians were killed and another 17 injured on Tuesday when Russian warplanes struck a town in Syrias northern Aleppo province according to local civil defense sources. Russian jets targeted Aleppos opposition-held Atarib district one civil defense source told Anadolu Agency on condition of anonymity due to fears of reprisal. Several residential buildings and vehicles were also damaged during the airstrikes the same source said. Syria has been locked in a vicious conflictsince early 2011 when the Assad regime cracked down on pro-democracy protests - which erupted as part of the Arab Spring uprisings - with unexpected ferocity. Since then more than a quarter of a million people have been killed and more than 10 million displaced across the war-battered country according to UN figures. However the Syrian Center for Policy Research an NGO has put the total death toll from conflict - now in its sixth year - at more than 470000.,"{""Name of casualty or group"": ""Ten civilians"", ""Gender or age group"": ""Adult (not specified as child or senior)"", ""Cause of death"": ""Russian warplane airstrikes"", ""Type"": ""Civilian"", ""Actor"": ""Russian forces"", ""Place of death"": ""Atarib district"", ""Date of death"": ""Tuesday (August 2, 2016, but no specific date mentioned in the article)""}",name of casualty or group,"Name of casualty or group is the name of the casualty or the name of the group associated with the casualty. You need to choose different facts for the value ""Name of casualty or group"". Changed facts must bear different meaning. Common examples are: Civilians (General category encompassing men, women, and children), Syrian Army (SAA), Free Syrian Army (FSA), National Liberation Front (NLF), Hay'at Tahrir al-Sham (HTS), People's Protection Units (YPG), Syrian Democratic Forces (SDF), Islamic State (ISIS), Hezbollah, Russian Forces, The White Helmets (Syrian Civil Defence), Kurdish Female Fighters (YPJ), Foreign Fighters (joining various factions), Al-Nusra Front Commanders, Civilians in Refugee Camps."
373,,,"06.04.2017 The attack in Syrian Idlib province claimed the lives of at least 27 children while over 500 people including many minors were injured the United Nations International Childrens Emergency Fund (UNICEF) said in a statement on Thursday. According to the statement UNICEF continues to provide treatment and medical facilities in the area of the attack as well as to cooperate with health partners ""to raise awareness about medical response to chemical attacks."" ""At least 27 children were confirmed killed in the attack in Idlib northwest of Syria A further 546 people among them many children have been injured. Casualty figures are expected to rise"" the statement read. On Tuesday Syrian opposition forces stated that some 80 people were killed and 200 injured in a chemical weapon attack in the Syrian Idlib province blaming the Syrian army for the incident. A source in the Syrian army later told Sputnik that the army did not have chemical weapons and the allegations could be part of anti-Damascus propaganda. The United Nations and the Organisation for the Prohibition of Chemical Weapons (OPCW) have launched an investigation into the incident. In 2013 Syria joined the Convention on the Prohibition of Chemical Weapons after a chemical weapon attack in Syrian East Ghouta. In January 2016 the OPCW announced that all chemical weapons in Syria had been destroyed. However in June 2016 the US State Department released a report stating that Syria continues to use chemical substances against citizens and can also stockpile chemical weapons.","{""Name of casualty or group"": ""Children"", ""Gender or age group"": ""Child (minors)"", ""Cause of death"": ""Chemical weapon attack"", ""Type"": ""Civilian"", ""Actor"": ""Syrian army"", ""Place of death"": ""Idlib province"", ""Date of death"": ""Not specified""}",name of casualty or group,"Name of casualty or group is the name of the casualty or the name of the group associated with the casualty. You need to choose different facts for the value ""Name of casualty or group"". Changed facts must bear different meaning. Common examples are: Civilians (General category encompassing men, women, and children), Syrian Army (SAA), Free Syrian Army (FSA), National Liberation Front (NLF), Hay'at Tahrir al-Sham (HTS), People's Protection Units (YPG), Syrian Democratic Forces (SDF), Islamic State (ISIS), Hezbollah, Russian Forces, The White Helmets (Syrian Civil Defence), Kurdish Female Fighters (YPJ), Foreign Fighters (joining various factions), Al-Nusra Front Commanders, Civilians in Refugee Camps."
407,"A rocket attack by anti-government forces on Aleppo's al-Khalediya neighborhood has left seven civilians injured. The assault targeted residential areas, causing significant damage to citizens' homes and properties. According to reports from the Aleppo Police Command, these extremist groups have repeatedly breached a ceasefire agreement, with most incidents occurring in Aleppo and Damascus countryside.","{""Name of casualty or group"": ""Citizens of Aleppo"", ""Gender or age group"": ""Adult (7 civilians)"", ""Cause of death"": ""Rocket attack (injuries due to terrorist rocket shells)"", ""Type"": ""Civilian"", ""Actor"": ""Anti-government forces (responsible for the rocket attack)"", ""Place of death"": ""al-Khalediya neighborhood"", ""Date of death"": ""Not specified (only date of incident is mentioned)""}",17-06-2016 7 Civilians Injured in New Terrorist Rocket Attack in Aleppo. Seven civilians were injured in a terrorist rocket attack on al-Khalediya neighborhood in Aleppo city. Seven civilians were injured in a terrorist rocket attack on al-Khalediya neighborhood in Aleppo city according to SANA. In a statement to SANA a source at Aleppo Police Command said that terrorists targeted with rocket shells al-Khalediya neighborhood in Aleppo city injuring 7 people who were rushed to the citys hospitals for treatment. The source added that the attack caused also material damage to the citizens houses and properties. Since the cessation of hostilities agreement came into effect on February 27 2016 terrorist groups had breached it 677 times with most of the breaches in Aleppo and Damascus countryside. ,"{""Name of casualty or group"": ""Not specified"", ""Gender or age group"": ""Adult (7 civilians)"", ""Cause of death"": ""Rocket attack (injuries due to terrorist rocket shells)"", ""Type"": ""Civilian"", ""Actor"": ""Terrorist groups (responsible for the rocket attack)"", ""Place of death"": ""al-Khalediya neighborhood"", ""Date of death"": ""Not specified (only date of incident is mentioned)""}",name of casualty or group,"Name of casualty or group is the name of the casualty or the name of the group associated with the casualty. You need to choose different facts for the value ""Name of casualty or group"". Changed facts must bear different meaning. Common examples are: Civilians (General category encompassing men, women, and children), Syrian Army (SAA), Free Syrian Army (FSA), National Liberation Front (NLF), Hay'at Tahrir al-Sham (HTS), People's Protection Units (YPG), Syrian Democratic Forces (SDF), Islamic State (ISIS), Hezbollah, Russian Forces, The White Helmets (Syrian Civil Defence), Kurdish Female Fighters (YPJ), Foreign Fighters (joining various factions), Al-Nusra Front Commanders, Civilians in Refugee Camps."
270,,,10 October 2017 Russian Defense Ministry: More than 100 ISIS terrorists killed in Deir Ezzor. Russian Defense Ministry said that US-led coalition has sharply reduced the intensity of its attacks on ISIS terrorists positions in Iraq following the beginning of military operations of the Syrian Arab Army to liberate Deir Ezzor. Russian Defense Ministry spokesman Maj. Gen. Igor Konashenkov said on Tuesday that The continuing supply of terrorists from Iraq raises serious questions about the objectives of operations against terrorists conducted in the region by aircraft of the United States and the so-called international coalition adding that in the western part of Iraq ISIS-controlled territory continues to increase. Konashenkov affirmed that the actions of the coalition require clarification. Does such a shift in the US and the coalitions priorities mean the desire to complicate the operation conducted by the Syrian army supported by Russias Aerospace Forces to liberate Syrias territory east of the Euphrates? Or is it a possibility to liberate Iraq from ISIS terrorists driving them into Syria under the precise airstrikes of the Russian Aerospace Forces? he questioned. Russias Aerospace Forces carry out up to 150 strikes per day on ISIS terrorists positions near al- Mayadin city in Deir Ezzor supporting the expand military operation of the Syrian army to liberate the city the largest ISIS positions in Deir Ezzor. Konashenkov said that over the past 24 hours Russias aerospace group dealt 182 strikes against the positions of ISIS terrorists who had infiltrated to Deir Ezzor province from Iraq. Two pairs of Sukhoi-34 bombers were commissioned to hit the targets. Fourteen consecutive strikes were made Konashenkov added. Objective monitoring means confirmed the destruction of four tanks three armored personnel carriers and nine off-road vehicles armed with heavy machineguns and two multiple rocket launchers. Fifty terrorists were killed and another 30 sealed off in the underground tunnels Konashenkov said. Forty minutes later a Sukhoi-34 bomber carried out another attack against this stronghold to kill another 20 terrorists who had arrived for evacuating those injured he added. The Russian Aerospace Forces have destroyed the economic infrastructure of ISIS in Syria and foiled any attempts by terrorists to resume the production and illegal sale of hydrocarbons in Syria. ISIS no longer has the sources of financing for purchasing weapons and ammunition and recruiting mercenaries in Syria he said. Konashenkov added a command center of ISIS and three groups of terrorists who had arrived from Iraq had been destroyed near Hatla town. The elimination of 34 terrorists five off-road vehicles carrying large caliber weapons and two trucks full of ammunition has been confirmed he said. Shaza/Mazen,"{""Name of casualty or group"": ""ISIS terrorists"", ""Gender or age group"": ""Not specified in the article"", ""Cause of death"": ""airstrike/bombing (by Russian Aerospace Forces)"", ""Type"": ""Non-civilian (terrorists)"", ""Actor"": ""Russian Aerospace Forces"", ""Place of death"": ""Deir Ezzor"", ""Date of death"": ""October 10, 2017""}",date of death,"The date of death refers to thime where the attack happened in the article. You need to choose different dates for the value ""Date of death"". Changed facts must bear different meaning."
322,,,Wed Oct 12 2016 Syrian Army Units Kill over 70 Terrorists in Hama Province. Syrian army troops have killed more than 70 Takfiri terrorists and injured 30 others during its anti-terror military offensive in the western province of Hama. The fatalities were caused on Wednesday in the Kawkab village of the provinces Hama District. Arabic-language news website Syria Now identified one of the wounded as Hannan Abu Laith the military commander of the Jabhat Fath al-Sham (The Conquest of Syria Front) terror outfit formerly known as al-Nusra Front. Syrian forces also destroyed some tanks and military vehicles used by Takfiri militants in the same province. The official Syrian Arab News Agency meanwhile reported that the Syrian air force had targeted Takfiri militants across the northwestern Aleppo province including the Khan Tuman village killing a large number of them. File photo shows terrorists with Jabhat Fath al-Sham formerly known as al-Nusra Front It added that the army killed and injured a number of operatives tied to Jabhat Fath al-Sham in southwestern Daraa Province. A number of artillery positions belonging to Takfiri terrorists were also destroyed in Latakia Province located in Syrias northwest the countrys Defense Ministry announced. Separately unknown gunmen injured a number of civilians in mortar attacks close to Umayyad Mosque and the Mezzeh neighborhood in the capital Damascus. Since 2011 the country has found itself in the clutches of foreign-backed militancy which has so far killed hundreds of thousands and displaced millions. SSH 11,"{""Name of casualty or group"": ""Not specifically named; referred to casualties at the airbase"", ""Gender or age group"": ""Not specified in the article."", ""Cause of death"": ""explosion"", ""Type"": ""Non-civilian (military personnel at the airbase)"", ""Actor"": ""Syrian Arab Army (the airbase was providing support for army operations)"", ""Place of death"": ""Near Homs"", ""Date of death"": ""Not available""}",actor,"The actor is the person or group responsible for the attack. You need to choose different facts for the value ""Actor"". Changed facts must bear different meaning. Common actors of Syrian war are: rebel groups, Russian forces, ISIS, the Syrian army, USA army, etc."
5,"A senior leader of the Syrian rebel group Ahrar al-Sham was killed in a double suicide bombing attack on Wednesday. The blast targeted the group's headquarters northwest of Idlib town, also killing several other high-ranking members. This is the second time in less than a year that a bombing has taken out the leadership of Ahrar al-Sham, one of the most powerful Islamic groups fighting both President Bashar Assad's forces and the rival Islamic State group.

The attack came just days after a senior member of Ahrar al-Sham published an op-ed piece in the Washington Post, denying any ties to al-Qaeda and portraying his group as a moderate Islamist alternative. In September, the group's leader was killed in a similar bombing.

Syrian forces backed by Lebanese Hezbollah fighters have entered a rebel-held mountain resort near the border with Lebanon, where protests against the Nusra Front were violently suppressed last Friday. UN envoy Staffan de Mistura met with leaders of the Southern Front alliance in southern Syria on Wednesday, seeking a political solution to the conflict.","{""Name of casualty or group"": ""Ahrar al-Sham leader"", ""Gender or age group"": ""Not specified in the article."", ""Cause of death"": ""Explosion from a double suicide bombing"", ""Type"": ""Non-civilian (leader of Ahrar al-Sham)"", ""Actor"": ""Not available"", ""Place of death"": ""Northwest of Idlib town"", ""Date of death"": ""Wednesday, March 11, 2020""}","15 July 2015 Abu Abdelrahman Salqeen leader of Syrian rebel group Ahrar al-Sham was killed Tuesday in a suicide bombing that targeted the group for the second time in less than a year. Tags Syria Ahrar al-Sham Nusra Front suicide bombing Staffan De Mistura Southern Front alliance regime forces Hezbollah Zabadani Islamic State group airstrikes A double suicide bombing in northern Syria on Tuesday targeted the headquarters of an Islamist rebel group killing its leader and several other high ranking members. The attack was the second time in less than a year that a bombing takes out the leadership of Ahrar al-Sham (""Free men of the Levant"") one of the most powerful Islamic groups fighting both President Bashar Assads forces and its rival the Islamic State group which holds wide swaths of territory in Syria and Iraq. Tuesdays attack struck the headquarters of Ahrar al-Sham northwest of the town of Idlib killing the groups leader Abu Abdelrahman Salqeen. The Syrian Observatory for Human Rights said six other Ahrar al-Sham members also died. The Local Coordination Committees and other activists also reported the attack. There was no immediate claim of responsibility for the bombing. 	 	 The attack came a few days after a senior member of Ahrar al-Sham published an op-ed piece in the Washington Post in which he denied espousing al-Qaedas ideology and portrayed his group as the moderate Islamist alternative in Syria claiming it was a key to defeating the IS. In September Ahrar al-Shams leader Hassan Abboud was killed along with several other leading members of the group in a similar bombing also in Idlib province. Ahrar al-Sham is the largest group in the Jaysh al-Fateh (Army of Conquest) the coalition of Islamist and moderate rebel groups that took control of the regime-held stronghold of Idlib in March this year. According to a report in al-Monitor the various groups in Jaysh al-Fateh are having trouble agreeing on a unified approach to governing the territory they have captured. The other large group in the coalition the al-Qaeda-linked Nusra Front reportedly attacked Sharia court buildings and police stations affiliated with Ahrar al-Sham-dominated Sharia authority for managing the liberated areas in Idlib in Kafr Nabl on 8 July. 	 	Syrian forces backed by Lebanese Hezbollah fighters have entered a rebel-held mountain resort near the border with Lebanon. This follows protests in the Idlib countryside against the Nusra Front which Nusra fighters suppressed reportedly with the use of lethal force and a bomb at a mosque last Friday in which killed at least 10 members of the group according to Reuters. UN envoy meets southern rebels UN Special Envoy for the Syria Crisis Staffan de Mistura met with leaders of the Southern Front alliance in southern Syria on Tuesday for the first time according to Reuters. The Southern Front alliance controls a significant amount of territory between the capital Damascus and the southern border and has made a number of significant gains against regime forces over the last few months. De Mistura began an extensive round of meetings with parties directly or indirectly involved in the conflict in May with an eye to ending the brutal four-year civil war. According to his office he plans to finalise plans by the end of July to reach a political solution to the conflict. Regime offensive tightens grip on Zabadani State media says Syrian forces backed by Lebanese Hizbollah fighters have entered a rebel-held mountain resort near the border with Lebanon a day after launching a major offensive to capture the town. State-run Syrian TV said troops entered the town of Zabadani from the western Jamaiyat district Sunday. Hezbollahs al-Manar TV ran exclusive footage purportedly showing Hezbollah fighters in the town. It showed scenes of heavy fighting including explosions and mushrooms of white smoke. According to other sources the regimes latest attempt to secure Zabadani started 12 days ago. 	 	Meshaal killed in an airstrike in Hasakeh composed several Jihadi hymns for the IS celebrating martyrdom and holy war. Regime warplanes and helicopters launched at least 60 air raids yesterday on the rebel-held Syrian town of Zabadani to the west of Damascus and a short distance from the Lebanese border according to a monitoring group. The London-based Syrian Observatory for Human Rights said there had been at least 29 raids by warplanes on Zabadani and at least 34 barrel bombs dropped by helicopters so far today. The raids come as forces from the regimes army and Hezbollah are engaged in their 11th day of heavy fighting with rebel forces in the area for control of the strategic town. A spokesperson for the Zabadani Revolution Coordination Committee told al-Araby al-Jadeed on Monday that forces from the regimes army and Hezbollah had made several attempts to advance into the town from the south but all of these attempts had been repelled. Zabadanis capture would tighten Hezbollahs grip on Syrian territories bordering Lebanon and strengthen the Syrian governments control over of the Beirut-Damascus highway. The town has been held by rebels since shortly after Syrias crisis began in March 2011. US airstrikes target the IS The Syrian Observatory for Human Rights reported the death of two senior Islamic State group (IS) leaders in a suspected US airstrike on Monday. Abu Osama al-Iraqi and Amer al-Rafdan were killed in what is believed to have been US airstrikes in Hasakeh. A Saudi national Maher Meshaal known as Abu Hajar al-Hadrami was also killed in airstrikes in Hasakeh according to IS supporters on twitter CBS reported. Meshaal composed several Jihadi hymns for the IS celebrating martyrdom and holy war. The airstrikes come a week after President Barrack Obama announced the US would intensify its campaign of airstrikes against the IS in northern Syria.","{""Name of casualty or group"": ""Abu Abdelrahman Salqeen"", ""Gender or age group"": ""Not specified in the article."", ""Cause of death"": ""suicide bombing"", ""Type"": ""Non-civilian (leader of Ahrar al-Sham)"", ""Actor"": ""Not available"", ""Place of death"": ""Northwest of Idlib town"", ""Date of death"": ""Tuesday, July 14, 2015""}",cause of death,"Cause of death is the weapon used in the attack. You need to choose different facts for the value ""Cause of death"". Changed facts must bear different meaning. Examples are shooting, shelling, chemical weapons, explosions, etc."
419,"Eight civilians were killed and 14 others injured in a devastating car bomb attack by extremists on Tuesday, September 2, in Damascus city. The blast occurred near a fruit and vegetable market, causing material damage to nearby buildings, including the General Establishment for Mills.

According to Al-Manar reporter, the explosion took place in the Masaken Barzeh neighborhood of Damascus, resulting in eight civilian fatalities and injuring 14 others.","{""Name of casualty or group"": ""Eight civilians"", ""Gender or age group"": ""Civilians (no specific gender or age specified)"", ""Cause of death"": ""Terrorist car bomb explosion"", ""Type"": ""Civilian"", ""Actor"": ""Extremists"", ""Place of death"": ""Damascus city"", ""Date of death"": ""Tuesday""}",09-02-2016 Eight Civilians Killed 14 Injured in Terrorist Bombing in Damascus. A terrorist car bomb rocked Masaken Barzeh neighborhood in Damascus city on Tuesday claiming eight and injuring 14 citizens according to Al-Manar reporter. A terrorist car bomb rocked Masaken Barzeh neighborhood in Damascus city on Tuesday claiming eight and injuring 14 citizens according to Al-Manar reporter. SANA news agency mentioned that the attack took place near a fruit and vegetable market in the area and caused material damage to the nearby building of the General Establishment for Mills. ,"{""Name of casualty or group"": ""Eight civilians"", ""Gender or age group"": ""Civilians (no specific gender or age specified)"", ""Cause of death"": ""Terrorist car bomb explosion"", ""Type"": ""Civilian"", ""Actor"": ""Terrorists"", ""Place of death"": ""Masaken Barzeh neighborhood"", ""Date of death"": ""Tuesday (September 1 or September 2 is not explicitly stated in the article. I assume it's Tuesday since no specific day of the week is mentioned)""}",Place of death,"Place of death refers to the cities or areas where the attacks happened. You need to choose different facts for the value ""Place of death"". Changed facts must bear different meaning. Common places are Aleppo, Damascus, Homs, Idlib, Hasaka, Deir ez-Zor, Daraa, Qamishli or Tartus."
187,,,Published August 2 2016 SEND httpsabahdai.ly9x2W4z A man rides a bicycle past burning tyres which activists said are used to create smoke cover from warplanes in Aleppo Syria August 1 2016 (Reuters Photo) Ten civilians were killed and another 17 injured on Tuesday when Russian warplanes struck a town in Syrias northern Aleppo province according to local civil defense sources. Russian jets targeted Aleppos opposition-held Atarib district one civil defense source told Anadolu Agency on condition of anonymity due to fears of reprisal. Several residential buildings and vehicles were also damaged during the airstrikes the same source said. Syria has been locked in a vicious conflictsince early 2011 when the Assad regime cracked down on pro-democracy protests - which erupted as part of the Arab Spring uprisings - with unexpected ferocity. Since then more than a quarter of a million people have been killed and more than 10 million displaced across the war-battered country according to UN figures. However the Syrian Center for Policy Research an NGO has put the total death toll from conflict - now in its sixth year - at more than 470000.,"{""Name of casualty or group"": ""Not specified"", ""Gender or age group"": ""Civilians (adults)"", ""Cause of death"": ""Russian airstrikes"", ""Type"": ""Civilian"", ""Actor"": ""Russian warplanes"", ""Place of death"": ""Atarib district"", ""Date of death"": ""Tuesday, August 2, 2016 is not mentioned as the date of death. However, it was mentioned that the incident occurred on Tuesday when Russian warplanes struck the town. So I assume that the date of death would be August 1, 2016.""}",actor,"The actor is the person or group responsible for the attack. You need to choose different facts for the value ""Actor"". Changed facts must bear different meaning. Common actors of Syrian war are: rebel groups, Russian forces, ISIS, the Syrian army, USA army, etc."
418,,,"04-04-2016 Al-Nusra Spokesman Son 20 Terrorists Killed in Idleb Strikes. The spokesman for Al-Qaedas Syrian affiliate Al-Nusra Front takfiri group his son and 20 other terrorists were killed in air strikes Sunday in the northeast of the country The spokesman for Al-Qaedas Syrian affiliate Al-Nusra Front takfiri group his son and 20 other terrorists were killed in air strikes Sunday in the northeast of the country a monitor group said. ""Abu Firas al-Suri his son and at least 20 jihadists of Al-Nusra and Jund al-Aqsa and jihadists from Uzbekistan were killed in strikes on positions in Idleb province"" UK-based Syrian Observatory for Human Rights chief Rami Abdel Rahman said in a statement. The monitor said it was not immediately clear if the raids were carried out by Syrian regime warplanes or their Russian allies. Abdel Rahman indicated that Suri was meeting with other leading terrorists in Kafar Jales when the raids took place. Two other Al-Nusra and Jund al-Aqsa targets were also hit and many were seriously injured he added. Syrian Suri real name Radwan Nammous fought against the Soviet forces in Afghanistan where he met Al-Qaeda leader Osama bin Laden and Abdullah Azzam a bin Laden mentor before returning to Syria in 2011 the AFP reported citing his supporters on Twitter. On Wednesday a drone strike near Syrian Al-Raqqa province killed a terrorist commander according to the Observatory the latest in a series of blows to the terrorists in recent weeks. ","{""Name of casualty or group"": ""Abu Firas al-Suri (aka Radwan Nammous)"", ""Gender or age group"": ""Adult"", ""Cause of death"": ""Air strikes"", ""Type"": ""Non-civilian (terrorist)"", ""Actor"": ""Syrian regime warplanes or Russian allies"", ""Place of death"": ""Idleb province"", ""Date of death"": ""April 3, 2016""}",date of death,"The date of death refers to thime where the attack happened in the article. You need to choose different dates for the value ""Date of death"". Changed facts must bear different meaning."
413,"On April 28th, 2016, a devastating event unfolded in the Syrian capital city of Aleppo and its surroundings. A group of innocent civilians was caught in the crossfire as ISIS-affiliated terrorists unleashed rocket attacks and sniper fire on several neighborhoods. The violence resulted in the tragic loss of at least 20 lives, with many more injured.

A source from the local authorities reported that the terrorists had taken positions in the Bustan al-Qaser neighborhood and launched rocket shells on nearby areas, including al-Meridian and al-Ashrafiyeh neighborhoods. Additionally, two civilians were killed by a sniper, while five others, including two children, lost their lives in the rocket attacks.","{""Name of casualty or group"": ""Not specifically named; referred to civilians"", ""Gender or age group"": ""Adult (man)"", ""Cause of death"": ""Sniper shooting"", ""Type"": ""Civilian"", ""Actor"": ""ISIS-affiliated terrorists"", ""Place of death"": ""Syrian capital city of Aleppo's surrounding area"", ""Date of death"": ""Thursday, 28-04-2016""}",28-04-2016 Syria 20 Civilians Killed Scores Injured in Terrorist Attacks in Aleppo. 20 civilians were killed and scores were injured in terrorist rocket attacks and sniper shooting in Aleppo on Thursday. 20 civilians were killed and scores were injured in terrorist rocket attacks and sniper shooting in Aleppo on Thursday. A source at Aleppo Police Command told SANA that the terrorists positioned in Bustan al-Qaser neighborhood fired rocket shells on al-Meridian neighborhood in Aleppo city claiming the lives of a man and his wife as their house was destroyed while they were inside and injuring four other civilians. The source added that a sniper from al-Nusra Front (Qaeda branch in the Levant) terrorist organization positioned in Bustan al-Qaser neighborhood shot on the locals of al-Masharqa neighborhood leaving two civilians dead. Also five people including two children were killed and 40 others were injured in terrorist rocket attacks on al-Midan and al-Ashrafiyeh neighborhoods and in the vicinity of Saadallah al-Jabiri Square and al-Qaser al-Baladi (Municipal Palace) according to the source. ,"{""Name of casualty or group"": ""Not specifically named; referred to civilians"", ""Gender or age group"": ""Adult (man)"", ""Cause of death"": ""Sniper shooting"", ""Type"": ""Civilian"", ""Actor"": ""al-Nusra Front (terrorist organization)"", ""Place of death"": ""Aleppo city"", ""Date of death"": ""Thursday, 28-04-2016""}",actor,"The actor is the person or group responsible for the attack. You need to choose different facts for the value ""Actor"". Changed facts must bear different meaning. Common actors of Syrian war are: rebel groups, Russian forces, ISIS, the Syrian army, USA army, etc."
