False for true article,All responses for true article,False for false article,All responses for false article
1,7,4,7
1,7,2,7
0,7,1,7
1,7,1,7
0,7,1,7
1,7,2,6
1,7,2,7
1,7,2,6
1,7,3,7
1,7,3,7
0,7,1,7
1,7,1,6
0,7,1,7
1,7,1,7
1,7,2,7
0,7,0,7
2,7,4,6
1,7,0,7
1,7,2,7
0,7,0,7
0,7,1,7
1,7,1,7
4,7,5,7
3,7,1,4
1,7,2,7
1,7,1,7
2,7,2,7
0,7,1,7
3,7,4,7
3,7,4,7
1,7,1,7
0,7,1,6
0,7,0,6
1,7,1,7
0,7,1,7
0,7,1,7
0,7,1,7
0,7,1,7
0,7,1,7
1,7,2,6
0,7,1,7
1,7,2,7
0,7,2,7
1,7,1,7
1,7,1,7
0,7,1,7
0,7,1,7
0,7,1,7
2,7,3,6
0,7,1,7
0,7,1,7
1,7,2,7
